voter,created,choice/1,choice/39,choice/37,choice/3,choice/7,choice/11,choice/19,choice/27,choice/34,choice/40,choice/6,choice/10,choice/2,choice/9,choice/17,choice/21,choice/25,choice/31,choice/35,choice/41,choice/42,choice/5,choice/13,choice/24,choice/15,choice/23,choice/29,choice/33,choice/30,choice/32,choice/14,choice/18,choice/20,choice/28,choice/36,choice/4,choice/16,choice/38
0xf92d2Ff667F905EC34396af4769ff6D04E7ec84e,1636393750,,,,,,,,,,,,,,350000,,,1,,,,,150000,,,,,,,,,,,,,,,,
0xf8388c804061d08b757BAef8d9bB5f9eF8BA90D1,1636389101,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
0x5D2B315C465e133a346C960F46f5AA1ED88a3179,1636388956,,,,,2,2,,,,,,,,,,2,,,2,,,,,,,,,,,,,,,,,,,
0x6576dcd9F751C99adb07411B22dDda0be7FfE420,1636386320,,,,,,,,,,,,,,,,,,,,10000,,,,,,,,,,,,,,,,,,
0x0025cCEe82c5B3106aE5245813b2Ed64e75dF511,1636382141,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,
0x52A61b73cdDbac7aACeD80257A23928d48c4054C,1636377621,1,1,1,1,1,1,1,1,,,,,,1,1,1,1,1,1,1,,1,1,,1,1,1,1,,,,,,,,,,
0x53CB14af00560E779baCa9A662F6213dC573B906,1636375883,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
0x6131C5bBe0FA34Dc0F96E931BcA3E611A5199EEF,1636372715,,,,,,,,,,,,,,,,,1,,,100,,,,,,,,,,,,,,,,,,
0xD1Ef7F6d57F42e7e38B38E2951FA5fb45B6c2fA0,1636371951,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
0x6C7176A1760E9bE544d1b2442dc50B3dAe0D9bD9,1636359997,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x0aD5D1F88a6c27f1eA4e3f45bE0F4751baFc26C5,1636355438,,,,,,,,,,,,,,,,,,,4,4,,,,,,,,,,,,,,,,,,
0x0afB51f268532aBDc517A6c206036acE2d60c0Fc,1636355359,,,,,2,,,,,,,,,,,,,,4,4,,,,,,,,,,,,,,,,,,
0xa911ccf5F6C7BD5fb25188D41A536890c3c8fAE5,1636324679,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0xFe6adE773ed111BF9932f0e3a6722d52cbFe16e4,1636321306,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
0x53fdb2e2aD98a318043a447b6768Be7f4070DDd5,1636321270,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
0x5c15608eFb12Ee43e4D8367247BED42dD884b5f7,1636321211,,,,,,1,1,,,,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,
0x807773b90215344c5cfF4137c037613e568C1b0b,1636307676,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x0225DD447C812cdEb436352eb44f3ad03B2a4288,1636306043,,,,,6,3,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,
0x105DfEd176B4c5Ba488Ee5F4362638Ab0216b8c4,1636305860,,,,,6,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0xde3937897dbEB84462f2c573fd1f238a2510b09a,1636298128,,,,,,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,
0x70a4CD2A88C7FC283f944EbD5ec4B37185288bc8,1636297950,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x5b0ED743a0BD6C3b3BdB2C7970642f956f71fC91,1636289154,,,1,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,
0x1a7EeDEadC8E38FADfF8719F22d9Ca54EDa406A0,1636278223,,1,,,1,,,,,,,,,1,,,,1,1,1,,,1,,,,1,,,,,,,,,,,
0xb1B1dba36512C4943F2D517D2EdC256875404C5d,1636278131,,1,,,1,,,,,,,,,1,,,,1,1,1,,,1,,,,1,,,,,,,,,,,
0x86307df93c38C9A8C5E7E7bd40734Ab522e393Fb,1636275080,,,,,500,,500,,,,,,,,,500,,,6793,,,500,,,,,,,,,,,,,,,,
0xbdD5d655ad781FB9929BFe515EB4A50090444C21,1636272113,,,,1,2,1,,,1,,2,4,,,1,,,,,,,,,,,,,,1,1,,,,,,,,
0xd11Ddb32f4e6BF3370411BE6AfceAedE551a4E3d,1636224567,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
0xF49A4ba03f69eEf2366303e64Fc7b3a33d3f0043,1636215815,,1250,,,750,,750,,,,,,,,,1000,,,,1000,,,,,,,,,,,,,,,,,,
0x61Ae4E8691335569776eEAd72D16f4f002E64a56,1636215379,,,,,,,,,,,,,,,,,,,,1e+41,,,,,,,,,,,,,,,,,,
0x67B69C822553FE57d8B7E354af4f540c4e8963c9,1636196962,,,,2,10,2,3,4,,,,,,,5,1,,,,15,,2,,,,,,,,,,,,,,,,
0xE2A4DEd1eB0Bfa8027F1A2eD7E09D72843d6D35a,1636184910,,,,,,,,,,,,,,,,,,,550,,,,,,,,,,,,,,,,,,,
0x528a9F69C8667B4Cb9C7960513368BA50FEcbEb8,1636184339,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
0xF636DeB0854a84b23eb3fDd4A2DC65cB9326B7AF,1636183820,1,,,,1,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
0xff5d8b7060dF9ff3119faC61534526232BB4554F,1636183694,1,,,,1,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
0x48b576c87e788a762D6f95A456f2A39113b46950,1636181525,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x227FD2fD881Cc6c99DFCcc0FB40f2B1dc2f3F36E,1636177093,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
0x3386Fa09690dd22482d546aa91a07d0b9CC526Fd,1636172838,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x8246137C39BB05261972655186A868bdC8a9Eb11,1636166530,360,,,,,,54,,,,,,,,,10,,,,80,,,,,,,,,,,10,10,,,,,,
0xF412192151b6c94981252cb6eFFF3Bc02aC90cAf,1636156094,,,,,,,,,,,,,,,,,,,,,,362,,,,,,,,,,,,,,,,
0x362CfE20851584DF00a670b2c8460A3aafD35839,1636155502,,,,,,,2,5,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
0x01e66950353400E93AEe7F041C0303103E2ef5Ab,1636155010,,1,,1,,,2,5,,,,,,,,,1,3,3,,,,,,,,,,,,,,,,,,,
0x5701068cA0bA0338a5B64e8F59d5ae661e9eCfc0,1636150581,,,8,10,1,8,,,,2,,1,1,,,4,6,,,,2,2,,4,8,,,,3,3,,3,2,3,3,,,
0x975CC4Ef1Ae67e1eDecadB7072a93faeD5552Fa1,1636150463,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,
0x7f8c1877Ed0DA352F78be4Fe4CdA58BB804a30dF,1636149881,1,,,,1,1,1,1,,,,,,1,1,1,,,,1,,,,,,1,,,,,,,,,,,,
0x03886228BB749eEBA43426D2D6B70eba472F4876,1636143170,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x61B15998893cC746B46C08FEdEE13a0d1b33bBa9,1636126948,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0xf88bD9c3F81f7148E4076bBB8b2e2B0951A8cE38,1636126877,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x01d5595949fdbE521fbC39EaF09192dfFB3bFc17,1636126203,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x21e06646433954AaBaCE8E3d93d502e423249299,1636122529,,,,,,,,,,,,,,5000,,,,,,,,,,,,,,,,,,,,,,,,
0x006D0f31A00E1f9c017Ab039E9d0BA699433A28c,1636118412,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x48E13Ab513A0d26f921707ad4F38989e2C587f25,1636116210,1,,,,1,,2,,10,,,,,,1,,1,,1,,,120,,1,,,,,,,5,,,5,,2,2,10
0x9EfB7616da129a998C82EBefac9DB467dD841F03,1636115841,,1,,,3,1,3,,,,,,,,1,1,,,1,2,,3,1,,,,1,1,,,,,,,,,,
0x50DF9271ea9e57220Fd326E899a8f8b78bCb3424,1636113897,1,1,,,,,1,,2,,,,,,,,,,,,,28,,,,,,,,,,,,1,,,,1
0x42a19cd756651A488f1899157c45Af929bf3695F,1636113691,1,1,,,1,,2,,5,,,,,,,,,,1,1,,105,,1,,,,,2,,3,,,3,,1,1,3
0x0EAEe7557fB9f7BCEc342BAffD628A6bd2CD3bC7,1636112888,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,
0x2BfD69485D34d4984162aDa88f267F179F549f89,1636109884,1,1,1,1,2,3,3,1,,,,,,2,2,1,3,3,1,4,,1,3,,1,3,1,3,,,,,,,,,,
0x855374849c0b65471882fb638240fe5FcAc556bc,1636109328,,1,1,1,3,1,1,1,,,,,,,1,,,,,3,,,,,,,,,,,,,,,,,,
0x3baC253c6Fb3F04b452C163cff726abdA54958bD,1636108508,1,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
0xB1A549920b38b2F7C80443b49B5A75DB3A4Cd5F5,1636108153,27,27,,,,,,,,,,,,,,,,27,,700,,,,,,,,,,,,,,,,,,
0x3953785f68D01996969e6B25E574bFA50F915121,1636107025,1,5,1,1,5,5,5,1,,,,,,5,5,1,5,1,5,5,,1,1,,1,1,1,1,,,,,,,,,,
0x36b3E003ba29095ca35Bd2482db6471aE125bE21,1636104731,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x95a1177D95bC895F8f59e89670ED4ADd9774d1F8,1636100523,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x54cbDab6a0D6694d6cf810c1e9eb5f9482412E1D,1636099220,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x30A50782c586e21B7cd54727E0927ed89d1d977D,1636097256,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,
0x655eFe6Eb2021b8CEfE22794d90293aeC37bb325,1636091509,2,2,,1,1,2,1,1,,,,,,,1,1,1,2,1,10,,1,,,,,,,,,,,,,,,,
0xbbd33AFa85539fa65cc08A2e61a001876D2f13FE,1636083432,,,,1,2,2,2,1,,,,,,,,2,,,2,2,,,,,,,,,,,,,,,,,,
0x0cEC1Dbc5Db276dE35808bf717a4491082fDb8d8,1636078730,1,1,,,,,,,,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,
