address,balance,timestamp,Vote,Round,Project Name,Proposal State,Proposal Standing,Grant Category,Earmarks,OCEAN Granted,datetime
0xebDcbE0f258B7F8Ebb7d3F5E57faE8C2204a5E64,8862.4631086049,1608050320.0,Yes,1,APY.vision,Not Granted,Not Granted,Build & Integrate,General,0.0,2020-12-15 16:38:40
0x5D2B315C465e133a346C960F46f5AA1ED88a3179,13840.708382944082,1608050961.0,Yes,1,Data Whale,Funded,Completed,Build & Integrate,General,13000.0,2020-12-15 16:49:21
0xB121b3DdaA9af45Df9878C855079F8A78eea9772,25934.1,1608042248.0,Yes,1,Data Whale,Funded,Completed,Build & Integrate,General,13000.0,2020-12-15 14:24:08
0x1911176664F147DCb30DA4a4AA6ef6c6849e613f,4446.742291051118,1608041433.0,Yes,1,Data Whale,Funded,Completed,Build & Integrate,General,13000.0,2020-12-15 14:10:33
0x45E48C0a6Fe8b759652624451C83387130C58367,20801.28827419996,1608053655.0,Yes,1,Data Whale,Funded,Completed,Build & Integrate,General,13000.0,2020-12-15 17:34:15
0xA41960A39265e936d73F76581475F5517f8F259D,4554.57098909636,1608041137.0,Yes,1,Data Whale,Funded,Completed,Build & Integrate,General,13000.0,2020-12-15 14:05:37
0xAFBA2f63810e1Be2F56e95b77fD20f62a3Aef46a,2124.793355535069,1608041027.0,Yes,1,Data Whale,Funded,Completed,Build & Integrate,General,13000.0,2020-12-15 14:03:47
0xa60556e3bF6424488072Fb09A20Ecb23dd6D609E,2500.0,1608068621.0,Yes,1,Data Whale,Funded,Completed,Build & Integrate,General,13000.0,2020-12-15 21:43:41
0xbbd33AFa85539fa65cc08A2e61a001876D2f13FE,3960.2413043068527,1608038379.0,Yes,1,Data Whale,Funded,Completed,Build & Integrate,General,13000.0,2020-12-15 13:19:39
0x67B69C822553FE57d8B7E354af4f540c4e8963c9,41365.77006754,1608107087.0,Yes,1,Data Whale,Funded,Completed,Build & Integrate,General,13000.0,2020-12-16 08:24:47
0xEa9235312333aEbFA8C8cA76c77574755b5C00ca,8343.739464227356,1608138040.0,Yes,1,Data Whale,Funded,Completed,Build & Integrate,General,13000.0,2020-12-16 17:00:40
0x8dB040D2A95c76805f7F24B146f273ADdbB86ed1,1082.564804613503,1608149581.0,Yes,1,Data Whale,Funded,Completed,Build & Integrate,General,13000.0,2020-12-16 20:13:01
0x85799fF1c86f89FE9fB07773d1d240763b6039Ce,201.6120193925808,1608577800.0,Yes,1,Data Whale,Funded,Completed,Build & Integrate,General,13000.0,2020-12-21 19:10:00
0x1cA48a32482eF29708e95F248E8a613f05782ED3,16149.298309948495,1608584777.0,Yes,1,Data Whale,Funded,Completed,Build & Integrate,General,13000.0,2020-12-21 21:06:17
0xCeaAD86848Dc118337b97eD7a0Fdba36Da6f03D4,2963.563947933436,1608237824.0,Yes,1,Data Whale,Funded,Completed,Build & Integrate,General,13000.0,2020-12-17 20:43:44
0xBEc2E3DcC0F554072474A24376419F5d3454b70F,4724.992161564726,1608049179.0,Yes,1,Decentralized File Rating,Funded,Unreported,Build & Integrate,General,13000.0,2020-12-15 16:19:39
0xB63503dA3bfAB5626e2A91c4cD94fB59679f6876,69297.14125062613,1608159233.0,Yes,1,Decentralized File Rating,Funded,Unreported,Build & Integrate,General,13000.0,2020-12-16 22:53:53
0x6217D92CdbbB56046669cd9F86a916447849fd96,456.402581666758,1608070048.0,Yes,1,Decentralized File Rating,Funded,Unreported,Build & Integrate,General,13000.0,2020-12-15 22:07:28
0x3457124819696E79A3ECa0D08655B287C4F92136,3357.4908726832177,1608081376.0,Yes,1,Decentralized File Rating,Funded,Unreported,Build & Integrate,General,13000.0,2020-12-16 01:16:16
0x64f1fA767dC5f050431Bd1d1d3e72Ea0aD865a06,38408.42637909669,1608164521.0,Yes,1,Decentralized File Rating,Funded,Unreported,Build & Integrate,General,13000.0,2020-12-17 00:22:01
0x33f0E20f104bC092AD43E1fcA864310C4c0189E4,312.5685742710478,1608150337.0,Yes,1,Ocean Academy,Funded,Unreported,Outreach,General,13000.0,2020-12-16 20:25:37
0x1Daf0b27e0F54a235abb5D52D276033394Eb8F49,567.6879494588621,1608037321.0,Yes,1,Ocean Academy,Funded,Unreported,Outreach,General,13000.0,2020-12-15 13:02:01
0x34335050Aa618DA5F5187E7644f0b86a015E55d3,36965.25773613341,1608313806.0,Yes,1,Ocean Academy,Funded,Unreported,Outreach,General,13000.0,2020-12-18 17:50:06
0x24D768d1fFadea536f293354553d360c7E16a8E0,60063.990396300986,1608141318.0,Yes,1,Ocean Academy,Funded,Unreported,Outreach,General,13000.0,2020-12-16 17:55:18
0xc42193d87DD67c3639ED1cEF53c409c37775F7C4,15000.024704031388,1608138684.0,Yes,1,Ocean Academy,Funded,Unreported,Outreach,General,13000.0,2020-12-16 17:11:24
0xcC7E9b8331bea863a158589E8EBCF118C72d0683,7084.813123103328,1608037427.0,Yes,1,Ocean Academy,Funded,Unreported,Outreach,General,13000.0,2020-12-15 13:03:47
0xFE53E594f981e234FCc5e33d3C37943C81766485,83.66205484410322,1608346032.0,Yes,1,Ocean Academy,Funded,Unreported,Outreach,General,13000.0,2020-12-19 02:47:12
0x7Dc445E2B251e82bd45A4401e72Cf60b6B4a13aB,3999.05121585417,1608108352.0,Yes,1,Ocean Academy,Funded,Unreported,Outreach,General,13000.0,2020-12-16 08:45:52
0xf3a7ACf685c737B632Ffe4265BB9094C25cF8Ac4,536.3817845473446,1608037575.0,Yes,1,Ocean Academy,Funded,Unreported,Outreach,General,13000.0,2020-12-15 13:06:15
0x5F071f2CE06084811be5B2EF2e9D2773f53d32CB,7209.12155135,1608388933.0,Yes,1,Ocean Academy,Funded,Unreported,Outreach,General,13000.0,2020-12-19 14:42:13
0x206120ebC24119b650B58df6Fc8559C8418A9e83,488.17650323101225,1608558525.0,Yes,1,Ocean Academy,Funded,Unreported,Outreach,General,13000.0,2020-12-21 13:48:45
0xcBdD51CF4e679542de0AC059Ae7399d798870F5F,29999.97808381,1608040268.0,Yes,1,Ocean Academy,Funded,Unreported,Outreach,General,13000.0,2020-12-15 13:51:08
0xE2D0d856Ecfaf305BAee76ddAf76444AD3b8684c,3743.288215579004,1608065027.0,Yes,1,Ocean Academy,Funded,Unreported,Outreach,General,13000.0,2020-12-15 20:43:47
0x5cFDBd9150596b790AAe28e003EFfac9f29081F9,5000.0,1608487366.0,Yes,1,Ocean Academy,Funded,Unreported,Outreach,General,13000.0,2020-12-20 18:02:46
0xF26dAAEc5d04BEa5cADB01f93D060b668b96a00b,6938.963696628569,1608056314.0,Yes,1,Ocean Academy,Funded,Unreported,Outreach,General,13000.0,2020-12-15 18:18:34
0xE0093f7A481f1545d4A656726735E544Eb98eD93,400000.000000004,1608196908.0,Yes,1,Ocean Academy,Funded,Unreported,Outreach,General,13000.0,2020-12-17 09:21:48
0x91d7Ff5660435a218BfB2DBEe4C1Ec865892b2E2,106.27672921554294,1608426127.0,Yes,1,Ocean Academy,Funded,Unreported,Outreach,General,13000.0,2020-12-20 01:02:07
0x12843126A739EE01dbDa27102c66ae20689506B9,114.86593440899348,1608041275.0,Yes,1,Ocean Academy,Funded,Unreported,Outreach,General,13000.0,2020-12-15 14:07:55
0xba70544Ca4feD37A78Caa653e1cdD3A97d71605C,20511.23190919157,1608219807.0,Yes,1,Ocean Academy,Funded,Unreported,Outreach,General,13000.0,2020-12-17 15:43:27
0x0B4a3351096b93672EFe48058A2De00E520F50f9,1471.052364685097,1608555865.0,Yes,1,Ocean Academy,Funded,Unreported,Outreach,General,13000.0,2020-12-21 13:04:25
0xCd3f010432c427D043AF133b5AE9ee22B1ECEd9B,1000.8345539767416,1608428823.0,Yes,1,Ocean Academy,Funded,Unreported,Outreach,General,13000.0,2020-12-20 01:47:03
0x5De4EA2F4fDe1823ea0432FbeB7E8E7a69f8987C,5340.749815216586,1608045379.0,Yes,1,Ocean Academy,Funded,Unreported,Outreach,General,13000.0,2020-12-15 15:16:19
0x3c104180D537550d2cC2fe6de12d1A6c6B29A036,2003408.2266651588,1608049855.0,Yes,1,Ocean Academy,Funded,Unreported,Outreach,General,13000.0,2020-12-15 16:30:55
0x06Fbe5d776905ea91899b273e4b663ADF58597eB,10022.7463466783,1608049809.0,Yes,1,Ocean Academy,Funded,Unreported,Outreach,General,13000.0,2020-12-15 16:30:09
0xF3E6e119972D9FBC06D34919a5EeCE4Ab5E47975,100.0,1608555503.0,Yes,1,Ocean Academy,Funded,Unreported,Outreach,General,13000.0,2020-12-21 12:58:23
0xd647b65fF1e4b25E3d2Dc86553A42c2675072A1a,16500.0,1608462412.0,Yes,1,Ocean Academy,Funded,Unreported,Outreach,General,13000.0,2020-12-20 11:06:52
0xaaC3438D37Da2FA2cE9A91c43834757314A2211b,1042.494548548696,1608500356.0,Yes,1,Ocean Academy,Funded,Unreported,Outreach,General,13000.0,2020-12-20 21:39:16
0xB804cb279F84292df5e8D78a6B2Ff315aD3E8B3c,5043.692973201607,1608064750.0,Yes,1,Ocean Academy,Funded,Unreported,Outreach,General,13000.0,2020-12-15 20:39:10
0x27B3035ab7F71d711dE25f114768F5F64B61857B,44349.8,1608245036.0,Yes,1,Ocean Pool Alerts,Funded,Unreported,Build & Integrate,General,13000.0,2020-12-17 22:43:56
0xf84a022c73F3547932bdb3Cf4a356315fDc76748,11780.0,1608052682.0,Yes,1,Ocean Pool Alerts,Funded,Unreported,Build & Integrate,General,13000.0,2020-12-15 17:18:02
0xf773829a6cFF2a51B8fC4E0D146faE34182bf119,20000.0,1608055506.0,Yes,1,Ocean Pool Alerts,Funded,Unreported,Build & Integrate,General,13000.0,2020-12-15 18:05:06
0x09E72574c5ab7891f9478d210ee0E6fc5e7FE486,20000.0,1608244918.0,Yes,1,Ocean Pool Alerts,Funded,Unreported,Build & Integrate,General,13000.0,2020-12-17 22:41:58
0x5281aD053cC8906d08E9520318A76db767CEeB4b,20000.0,1608055739.0,Yes,1,Ocean Pool Alerts,Funded,Unreported,Build & Integrate,General,13000.0,2020-12-15 18:08:59
0xC767B8d677bEB0A91bB511f20D533cA7Dd524494,5000.0,1608244788.0,Yes,1,Ocean Pool Alerts,Funded,Unreported,Build & Integrate,General,13000.0,2020-12-17 22:39:48
0x12BD31628075C20919BA838b89F414241b8c4869,23804.9,1608487712.0,Yes,1,Ocean Surfer,Funded,Unreported,Build & Integrate,General,13000.0,2020-12-20 18:08:32
0xB3D31eCf4C702Dc516c7a7e67F385560eE04A9C3,15018.908030564367,1608588324.0,Yes,1,Ocean Surfer,Funded,Unreported,Build & Integrate,General,13000.0,2020-12-21 22:05:24
0x01b8744f70cE3386aac11365516B231A78004198,20388.850595227424,1608054302.0,Yes,1,Ocean Surfer,Funded,Unreported,Build & Integrate,General,13000.0,2020-12-15 17:45:02
0xf29cA9E016BD479603c3470284Eb7f6090344a8C,70000.0,1608238586.0,Yes,1,Ocean Surfer,Funded,Unreported,Build & Integrate,General,13000.0,2020-12-17 20:56:26
0x07796f0FECABF25A8516d99b0669375246b10C2c,3117.594152443874,1608047877.0,Yes,1,Ocean Surfer,Funded,Unreported,Build & Integrate,General,13000.0,2020-12-15 15:57:57
0x3D57251EF3c56992e76dEb521e21614F67e2cde9,153.18237088835667,1608142288.0,Yes,1,Operation Plankton,Not Granted,Not Granted,Outreach,General,0.0,2020-12-16 18:11:28
0x359a76dB7aFDAd46f0e2C6699eC768c1064C86Ca,1939.779820524744,1608316133.0,Yes,1,Operation Plankton,Not Granted,Not Granted,Outreach,General,0.0,2020-12-18 18:28:53
0x2D3fb3096F020029A49A45c88253A4CD0BC2503F,1532.2302672129622,1608584952.0,Yes,1,Operation Plankton,Not Granted,Not Granted,Outreach,General,0.0,2020-12-21 21:09:12
0x9b315a6B563687357FaF7493700C3EA406f5d55c,139.24916958078435,1608584842.0,Yes,1,Operation Plankton,Not Granted,Not Granted,Outreach,General,0.0,2020-12-21 21:07:22
0x01e66950353400E93AEe7F041C0303103E2ef5Ab,5271.992998568287,1608035989.0,Yes,1,Operation Plankton,Not Granted,Not Granted,Outreach,General,0.0,2020-12-15 12:39:49
0x362CfE20851584DF00a670b2c8460A3aafD35839,3268.11491548,1608036130.0,Yes,1,Operation Plankton,Not Granted,Not Granted,Outreach,General,0.0,2020-12-15 12:42:10
0xF0e5094e51CDD81eBD68dD3F19AA580E2396A94D,10792.952676750068,1608576104.0,Yes,1,Operation Plankton,Not Granted,Not Granted,Outreach,General,0.0,2020-12-21 18:41:44
